Quarter,Quarter Label,Economy,Economy Label,"Growth rate, year-on-year","Growth rate, year-on-year Footnote",Growth rate (over previous period),Growth rate (over previous period) Footnote,Index (Maximum Q1 2006=100),Index (Maximum Q1 2006=100) Footnote,Ranking per quarter,Ranking per quarter Footnote
2006Q01,"Q1 2006",660,"Anguilla",,,,,2.07126,,161,
2006Q01,"Q1 2006",662,"Saint Lucia",,,,,5.40678,,129,
2006Q01,"Q1 2006",670,"Saint Vincent and the Grenadines",,,,,5.68173,,125,
2006Q01,"Q1 2006",678,"Sao Tome and Principe",,,,,3.83212,,147,
2006Q01,"Q1 2006",682,"Saudi Arabia",,,,,39.49934,,19,
2006Q01,"Q1 2006",686,"Senegal",,,,,13.42096,,67,
2006Q01,"Q1 2006",690,"Seychelles",,,,,5.44418,,128,
2006Q01,"Q1 2006",694,"Sierra Leone",,,,,4.101,,142,
2006Q01,"Q1 2006",702,"Singapore",,,,,81.58121,,3,
2006Q01,"Q1 2006",704,"Viet Nam",,,,,20.54524,,45,
2006Q01,"Q1 2006",705,"Slovenia",,,,,14.25334,,66,
2006Q01,"Q1 2006",706,"Somalia",,,,,3.56312,,151,
2006Q01,"Q1 2006",710,"South Africa",,,,,26.82336,,29,
2006Q01,"Q1 2006",724,"Spain",,,,,65.3636,,11,
2006Q01,"Q1 2006",736,"Sudan (...2011)",,,,,8.57185,,98,
2006Q01,"Q1 2006",740,"Suriname",,,,,7.42432,,110,
2006Q01,"Q1 2006",752,"Sweden",,,,,28.21877,,28,
2006Q01,"Q1 2006",760,"Syrian Arab Republic",,,,,11.82709,,75,
2006Q01,"Q1 2006",764,"Thailand",,,,,36.09047,,20,
2006Q01,"Q1 2006",768,"Togo",,,,,12.68744,,73,
2006Q01,"Q1 2006",776,"Tonga",,,,,6.02052,,121,
2006Q01,"Q1 2006",780,"Trinidad and Tobago",,,,,15.68623,,61,
2006Q01,"Q1 2006",784,"United Arab Emirates",,,,,47.4441,,16,
2006Q01,"Q1 2006",788,"Tunisia",,,,,9.16493,,95,
2006Q01,"Q1 2006",792,"Türkiye",,,,,29.81667,,26,
2006Q01,"Q1 2006",796,"Turks and Caicos Islands",,,,,1.35754,,168,
2006Q01,"Q1 2006",804,"Ukraine",,,,,12.92314,,70,
2006Q01,"Q1 2006",818,"Egypt",,,,,45.64189,,17,
2006Q01,"Q1 2006",834,"Tanzania, United Republic of",,,,,10.99154,,84,
2006Q01,"Q1 2006",842,"United States of America",,,,,79.11027,,4,
2006Q01,"Q1 2006",850,"United States Virgin Islands",,,,,5.96932,,123,
2006Q01,"Q1 2006",858,"Uruguay",,,,,17.08763,,54,
2006Q01,"Q1 2006",862,"Venezuela (Bolivarian Rep. of)",,,,,22.64303,,42,
2006Q01,"Q1 2006",876,"Wallis and Futuna Islands",,,,,2.48603,,159,
2006Q01,"Q1 2006",882,"Samoa",,,,,7.6088,,109,
2006Q01,"Q1 2006",887,"Yemen",,,,,13.04042,,68,
2006Q01,"Q1 2006",891,"Serbia and Montenegro",,,,,1.5442,,167,
2006Q01,"Q1 2006",926,"United Kingdom",,,,,78.79802,,5,
2006Q02,"Q2 2006",012,"Algeria",,,0.66912,,10.63972,,85,
2006Q02,"Q2 2006",016,"American Samoa",,,-0.01033,,7.09784,,118,
2006Q02,"Q2 2006",024,"Angola",,,2.69281,,13.37156,,68,
2006Q02,"Q2 2006",028,"Antigua and Barbuda",,,4.08389,,6.23881,,123,
2006Q02,"Q2 2006",032,"Argentina",,,-1.28605,,25.82988,,35,
2006Q02,"Q2 2006",036,"Australia",,,1.12373,,26.46405,,32,
2006Q02,"Q2 2006",044,"Bahamas",,,-5.09486,,19.03118,,50,
2006Q02,"Q2 2006",048,"Bahrain",,,11.60688,,7.93362,,106,
2006Q02,"Q2 2006",050,"Bangladesh",,,4.45686,,8.07823,,104,
2006Q02,"Q2 2006",052,"Barbados",,,0,,7.78577,,107,
2006Q02,"Q2 2006",056,"Belgium",,,0.78824,,72.9812,,8,
2006Q02,"Q2 2006",060,"Bermuda",,,0,,1.62925,,164,
2006Q02,"Q2 2006",076,"Brazil",,,-0.16075,,32.81686,,24,
2006Q02,"Q2 2006",084,"Belize",,,0,,3.33541,,153,
2006Q02,"Q2 2006",090,"Solomon Islands",,,17.05302,,6.59117,,120,
2006Q02,"Q2 2006",092,"British Virgin Islands",,,-1.19846,,4.32944,,140,
2006Q02,"Q2 2006",096,"Brunei Darussalam",,,0.06686,,4.24838,,142,
2006Q02,"Q2 2006",100,"Bulgaria",,,3.74081,,7.97603,,105,
2006Q02,"Q2 2006",104,"Myanmar",,,13.69762,,4.06881,,145,
2006Q02,"Q2 2006",116,"Cambodia",,,0.03845,,3.58282,,150,
2006Q02,"Q2 2006",120,"Cameroon",,,-1.42916,,14.53443,,65,
2006Q02,"Q2 2006",124,"Canada",,,3.755,,34.12689,,23,
2006Q02,"Q2 2006",132,"Cabo Verde",,,-0.62391,,3.50533,,152,
2006Q02,"Q2 2006",136,"Cayman Islands",,,0,,2.18671,,162,
2006Q02,"Q2 2006",144,"Sri Lanka",,,10.71703,,35.36456,,21,
2006Q02,"Q2 2006",152,"Chile",,,3.37956,,17.75771,,54,
2006Q02,"Q2 2006",156,"China",,,2.12901,,102.12901,,1,
2006Q02,"Q2 2006",158,"China, Taiwan Province of",,,-0.20871,,59.1908,,13,
2006Q02,"Q2 2006",166,"Cocos (Keeling) Islands",,,0,,0.87986,,169,
2006Q02,"Q2 2006",170,"Colombia",,,8.83943,,26.40171,,33,
2006Q02,"Q2 2006",174,"Comoros",,,-4.19978,,3.90954,,147,
2006Q02,"Q2 2006",175,"Mayotte",,,0.01738,,6.37025,,122,
2006Q02,"Q2 2006",178,"Congo",,,4.0584,,11.98665,,76,
2006Q02,"Q2 2006",180,"Congo, Dem. Rep. of the",,,0.01494,,4.66153,,136,
2006Q02,"Q2 2006",184,"Cook Islands",,,0,,0.6429,,171,
2006Q02,"Q2 2006",188,"Costa Rica",,,2.31615,,16.36022,,57,
2006Q02,"Q2 2006",191,"Croatia",,,2.54873,,10.93958,,83,
2006Q02,"Q2 2006",192,"Cuba",,,-1.61919,,7.69019,,110,
2006Q02,"Q2 2006",196,"Cyprus",,,-1.25273,,16.03688,,59,
2006Q02,"Q2 2006",204,"Benin",,,-12.49724,,10.33969,,89,
2006Q02,"Q2 2006",208,"Denmark",,,1.96078,,23.33497,,38,
2006Q02,"Q2 2006",212,"Dominica",,,-5.9871,,4.73066,,135,
2006Q02,"Q2 2006",214,"Dominican Republic",,,-0.6509,,21.34559,,42,
2006Q02,"Q2 2006",218,"Ecuador",,,-4.28268,,15.35206,,63,
2006Q02,"Q2 2006",222,"El Salvador",,,12.55784,,8.29254,,103,
2006Q02,"Q2 2006",226,"Equatorial Guinea",,,5.33802,,5.33903,,132,
2006Q02,"Q2 2006",232,"Eritrea",,,-9.3459,,3.7688,,149,
2006Q02,"Q2 2006",233,"Estonia",,,-5.14642,,6.43929,,121,
2006Q02,"Q2 2006",234,"Faroe Islands",,,0,,4.20504,,144,
2006Q02,"Q2 2006",242,"Fiji",,,15.03115,,9.08474,,97,
2006Q02,"Q2 2006",246,"Finland",,,1.73326,,12.66058,,71,
2006Q02,"Q2 2006",251,"France",,,-0.41607,,56.74198,,15,
2006Q02,"Q2 2006",254,"French Guiana",,,0,,6.07417,,125,
2006Q02,"Q2 2006",258,"French Polynesia",,,1.44318,,10.52969,,87,
2006Q02,"Q2 2006",262,"Djibouti",,,1.25011,,11.60855,,80,
2006Q02,"Q2 2006",266,"Gabon",,,-2.74467,,9.60309,,94,
2006Q02,"Q2 2006",268,"Georgia",,,-2.64146,,4.41518,,139,
2006Q02,"Q2 2006",270,"Gambia",,,6.76529,,4.30362,,141,
2006Q02,"Q2 2006",276,"Germany",,,2.34362,,77.36032,,6,
2006Q02,"Q2 2006",288,"Ghana",,,1.80066,,15.7506,,62,
2006Q02,"Q2 2006",292,"Gibraltar",,,32.85028,,2.45272,,160,
2006Q02,"Q2 2006",300,"Greece",,,10.32909,,32.8156,,25,
2006Q02,"Q2 2006",304,"Greenland",,,0,,1.89329,,163,
2006Q02,"Q2 2006",308,"Grenada",,,0,,5.40573,,131,
2006Q02,"Q2 2006",312,"Guadeloupe",,,-0.509,,10.15806,,90,
2006Q02,"Q2 2006",316,"Guam",,,0,,8.52611,,100,
2006Q02,"Q2 2006",320,"Guatemala",,,0.62,,20.69237,,45,
2006Q02,"Q2 2006",324,"Guinea",,,9.62858,,9.68087,,93,
2006Q02,"Q2 2006",328,"Guyana",,,0,,7.42432,,113,
2006Q02,"Q2 2006",332,"Haiti",,,7.00064,,4.22798,,143,
2006Q02,"Q2 2006",340,"Honduras",,,1.258,,11.91314,,77,
2006Q02,"Q2 2006",344,"China, Hong Kong SAR",,,0.43798,,84.52333,,2,
2006Q02,"Q2 2006",352,"Iceland",,,0.06263,,5.09341,,134,
2006Q02,"Q2 2006",356,"India",,,-3.99726,,40.55382,,18,
2006Q02,"Q2 2006",360,"Indonesia",,,2.43773,,34.73842,,22,
2006Q02,"Q2 2006",364,"Iran (Islamic Republic of)",,,10.20477,,20.25763,,47,
2006Q02,"Q2 2006",368,"Iraq",,,0,,3.16629,,155,
2006Q02,"Q2 2006",372,"Ireland",,,-2.3611,,10.87251,,84,
2006Q02,"Q2 2006",376,"Israel",,,0.45858,,23.03895,,39,
2006Q02,"Q2 2006",380,"Italy",,,0.58386,,57.5438,,14,
2006Q02,"Q2 2006",384,"Côte d'Ivoire",,,2.85017,,15.84438,,61,
2006Q02,"Q2 2006",388,"Jamaica",,,1.98691,,26.25554,,34,
2006Q02,"Q2 2006",392,"Japan",,,3.44812,,75.2006,,7,
2006Q02,"Q2 2006",400,"Jordan",,,3.19218,,18.00002,,52,
2006Q02,"Q2 2006",404,"Kenya",,,8.38574,,12.59403,,72,
2006Q02,"Q2 2006",408,"Korea, Dem. People's Rep. of",,,0,,0.6972,,170,
2006Q02,"Q2 2006",410,"Korea, Republic of",,,0.18883,,68.30201,,10,
2006Q02,"Q2 2006",414,"Kuwait",,,-4.12456,,10.6377,,86,
2006Q02,"Q2 2006",422,"Lebanon",,,-12.52119,,21.16671,,43,
2006Q02,"Q2 2006",428,"Latvia",,,2.91537,,7.375,,114,
2006Q02,"Q2 2006",430,"Liberia",,,11.50073,,4.57265,,137,
2006Q02,"Q2 2006",434,"Libya",,,0.16755,,10.07461,,92,
2006Q02,"Q2 2006",440,"Lithuania",,,31.17951,,7.3644,,115,
2006Q02,"Q2 2006",450,"Madagascar",,,-2.75133,,10.1523,,91,
2006Q02,"Q2 2006",458,"Malaysia",,,1.33183,,64.80199,,12,
2006Q02,"Q2 2006",462,"Maldives",,,-40.70529,,3.20256,,154,
2006Q02,"Q2 2006",470,"Malta",,,12.97563,,30.06475,,27,
2006Q02,"Q2 2006",474,"Martinique",,,0,,10.40104,,88,
2006Q02,"Q2 2006",478,"Mauritania",,,7.23345,,7.19145,,117,
2006Q02,"Q2 2006",480,"Mauritius",,,-0.77408,,14.80654,,64,
2006Q02,"Q2 2006",484,"Mexico",,,-1.36689,,31.22434,,26,
2006Q02,"Q2 2006",504,"Morocco",,,3.15439,,11.3594,,81,
2006Q02,"Q2 2006",508,"Mozambique",,,-0.02017,,8.51927,,101,
2006Q02,"Q2 2006",512,"Oman",,,-0.83733,,22.75655,,40,
2006Q02,"Q2 2006",516,"Namibia",,,-0.08455,,9.48237,,96,
2006Q02,"Q2 2006",528,"Netherlands",,,1.76562,,72.5053,,9,
2006Q02,"Q2 2006",530,"Netherlands Antilles",,,-0.08717,,12.68843,,70,
2006Q02,"Q2 2006",533,"Aruba",,,5.5188,,8.42224,,102,
2006Q02,"Q2 2006",540,"New Caledonia",,,0.40257,,10.97451,,82,
2006Q02,"Q2 2006",548,"Vanuatu",,,6.15994,,6.1638,,124,
2006Q02,"Q2 2006",554,"New Zealand",,,0.23304,,20.29911,,46,
2006Q02,"Q2 2006",558,"Nicaragua",,,46.33052,,7.76198,,108,
2006Q02,"Q2 2006",566,"Nigeria",,,1.38784,,15.95506,,60,
2006Q02,"Q2 2006",574,"Norfolk Island",,,-37.06167,,0.55591,,172,
2006Q02,"Q2 2006",579,"Norway",,,1.60213,,7.28242,,116,
2006Q02,"Q2 2006",580,"Northern Mariana Islands",,,0,,2.53443,,157,
2006Q02,"Q2 2006",583,"Micronesia (Federated States of)",,,0,,1.5551,,166,
2006Q02,"Q2 2006",584,"Marshall Islands",,,10.50805,,3.97765,,146,
2006Q02,"Q2 2006",585,"Palau",,,0,,2.53443,,157,
2006Q02,"Q2 2006",586,"Pakistan",,,2.85699,,24.83326,,37,
2006Q02,"Q2 2006",591,"Panama",,,2.48156,,25.34591,,36,
2006Q02,"Q2 2006",598,"Papua New Guinea",,,6.19361,,8.8518,,98,
2006Q02,"Q2 2006",604,"Peru",,,3.35973,,17.82733,,53,
2006Q02,"Q2 2006",608,"Philippines",,,-5.07351,,18.76443,,51,
2006Q02,"Q2 2006",616,"Poland",,,6.89914,,9.50441,,95,
2006Q02,"Q2 2006",620,"Portugal",,,1.91613,,26.96811,,31,
2006Q02,"Q2 2006",624,"Guinea-Bissau",,,89.00673,,5.12784,,133,
2006Q02,"Q2 2006",626,"Timor-Leste",,,-21.22934,,1.57466,,165,
2006Q02,"Q2 2006",630,"Puerto Rico",,,5.58155,,16.78382,,55,
2006Q02,"Q2 2006",634,"Qatar",,,-7.59265,,7.63133,,111,
2006Q02,"Q2 2006",638,"Réunion",,,0.79803,,12.97741,,69,
2006Q02,"Q2 2006",642,"Romania",,,3.57873,,16.57329,,56,
2006Q02,"Q2 2006",643,"Russian Federation",,,2.78084,,19.03484,,49,
2006Q02,"Q2 2006",659,"Saint Kitts and Nevis",,,-4.75911,,3.01452,,156,
2006Q02,"Q2 2006",660,"Anguilla",,,8.14299,,2.23992,,161,
2006Q02,"Q2 2006",662,"Saint Lucia",,,0,,5.40678,,130,
2006Q02,"Q2 2006",670,"Saint Vincent and the Grenadines",,,0,,5.68173,,129,
2006Q02,"Q2 2006",678,"Sao Tome and Principe",,,0.00463,,3.83229,,148,
2006Q02,"Q2 2006",682,"Saudi Arabia",,,-1.21132,,39.02087,,19,
2006Q02,"Q2 2006",686,"Senegal",,,4.52264,,14.02794,,66,
2006Q02,"Q2 2006",690,"Seychelles",,,24.1229,,6.75748,,119,
2006Q02,"Q2 2006",694,"Sierra Leone",,,11.50073,,4.57265,,137,
2006Q02,"Q2 2006",702,"Singapore",,,-1.65049,,80.23472,,4,
2006Q02,"Q2 2006",704,"Viet Nam",,,0.8912,,20.72834,,44,
2006Q02,"Q2 2006",705,"Slovenia",,,-12.2503,,12.50726,,74,
2006Q02,"Q2 2006",706,"Somalia",,,0,,3.56312,,151,
2006Q02,"Q2 2006",710,"South Africa",,,0.64126,,26.99536,,30,
2006Q02,"Q2 2006",724,"Spain",,,3.58045,,67.70391,,11,
2006Q02,"Q2 2006",736,"Sudan (...2011)",,,-33.27325,,5.71972,,128,
2006Q02,"Q2 2006",740,"Suriname",,,3.63881,,7.69447,,109,
2006Q02,"Q2 2006",752,"Sweden",,,-0.43776,,28.09524,,29,
2006Q02,"Q2 2006",760,"Syrian Arab Republic",,,0.63158,,11.90179,,78,
2006Q02,"Q2 2006",764,"Thailand",,,2.13022,,36.85928,,20,
2006Q02,"Q2 2006",768,"Togo",,,-1.27458,,12.52573,,73,
2006Q02,"Q2 2006",776,"Tonga",,,-4.63101,,5.74171,,127,
2006Q02,"Q2 2006",780,"Trinidad and Tobago",,,3.6987,,16.26642,,58,
2006Q02,"Q2 2006",784,"United Arab Emirates",,,0.0666,,47.4757,,16,
2006Q02,"Q2 2006",788,"Tunisia",,,-4.4871,,8.75369,,99,
2006Q02,"Q2 2006",792,"Türkiye",,,0.10787,,29.84883,,28,
2006Q02,"Q2 2006",796,"Turks and Caicos Islands",,,0,,1.35754,,168,
2006Q02,"Q2 2006",804,"Ukraine",,,-4.40918,,12.35333,,75,
2006Q02,"Q2 2006",818,"Egypt",,,1.67367,,46.40578,,17,
2006Q02,"Q2 2006",834,"Tanzania, United Republic of",,,8.12992,,11.88515,,79,
2006Q02,"Q2 2006",842,"United States of America",,,1.69579,,80.45181,,3,
2006Q02,"Q2 2006",850,"United States Virgin Islands",,,-0.87976,,5.91681,,126,
2006Q02,"Q2 2006",858,"Uruguay",,,16.68952,,19.93947,,48,
2006Q02,"Q2 2006",862,"Venezuela (Bolivarian Rep. of)",,,-1.05684,,22.40373,,41,
2006Q02,"Q2 2006",876,"Wallis and Futuna Islands",,,0,,2.48603,,159,
2006Q02,"Q2 2006",882,"Samoa",,,-0.00964,,7.60807,,112,
2006Q02,"Q2 2006",887,"Yemen",,,5.604,,13.7712,,67,
2006Q02,"Q2 2006",891,"Serbia and Montenegro",,,0,,1.5442,,167,
2006Q02,"Q2 2006",926,"United Kingdom",,,1.7261,,80.15815,,5,
2006Q03,"Q3 2006",012,"Algeria",,,0.94325,,10.74008,,86,
2006Q03,"Q3 2006",016,"American Samoa",,,37.26296,,9.74271,,96,
2006Q03,"Q3 2006",024,"Angola",,,1.23046,,13.53609,,70,
2006Q03,"Q3 2006",028,"Antigua and Barbuda",,,0.02513,,6.24038,,123,
2006Q03,"Q3 2006",032,"Argentina",,,-1.2104,,25.51724,,36,
2006Q03,"Q3 2006",036,"Australia",,,-0.54046,,26.32102,,33,
2006Q03,"Q3 2006",044,"Bahamas",,,0.39748,,19.10683,,49,
2006Q03,"Q3 2006",048,"Bahrain",,,-0.16939,,7.92018,,108,
2006Q03,"Q3 2006",050,"Bangladesh",,,0.70393,,8.1351,,105,
2006Q03,"Q3 2006",052,"Barbados",,,0.02013,,7.78734,,110,
2006Q03,"Q3 2006",056,"Belgium",,,1.37915,,73.98773,,8,
2006Q03,"Q3 2006",060,"Bermuda",,,0,,1.62925,,163,
